Thread #1
1. Point A: -59:76; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 46; Angle B: 176; Angle C: 91; Angle D: 45; Square: 560;
176. Point A: 29:75; Point B: 73:86; Point C: 92:86; Point D: 93:-58; Angle A: 78; Angle B: 165; Angle C: 90; Angle D: 25; Square: 451;
177. Point A: -2:32; Point B: 16:50; Point C: 57:50; Point D: 81:-14; Angle A: 73; Angle B: 135; Angle C: 110; Angle D: 40; Square: 1116;
178. Point A: -76:-42; Point B: 81:-14; Point C: 99:-14; Point D: 100:-63; Angle A: 16; Angle B: 169; Angle C: 91; Angle D: 82; Square: 2716;
179. Point A: -95:1; Point B: 16:50; Point C: 57:50; Point D: 69:-30; Angle A: 34; Angle B: 156; Angle C: 98; Angle D: 70; Square: 4998;
180. Point A: 16:50; Point B: 40:53; Point C: 75:53; Point D: 81:49; Angle A: 8; Angle B: 172; Angle C: 146; Angle D: 32; Square: 150;
181. Point A: -95:85; Point B: -37:97; Point C: 17:97; Point D: 24:-7; Angle A: 49; Angle B: 168; Angle C: 93; Angle D: 48; Square: 1032;
182. Point A: -24:-13; Point B: 10:80; Point C: 49:80; Point D: 69:-30; Angle A: 80; Angle B: 110; Angle C: 100; Angle D: 69; Square: 6138;
183. Point A: 10:80; Point B: 73:86; Point C: 92:86; Point D: 93:-58; Angle A: 64; Angle B: 174; Angle C: 90; Angle D: 30; Square: 306;
184. Point A: 24:-7; Point B: 45:33; Point C: 78:33; Point D: 93:-58; Angle A: 98; Angle B: 117; Angle C: 99; Angle D: 44; Square: 2040;
185. Point A: 14:-20; Point B: 20:-19; Point C: 94:-19; Point D: 95:-24; Angle A: 12; Angle B: 170; Angle C: 101; Angle D: 75; Square: 77;
186. Point A: 46:-34; Point B: 69:-30; Point C: 95:-30; Point D: 100:-63; Angle A: 38; Angle B: 170; Angle C: 98; Angle D: 53; Square: 160;
187. Point A: 10:-97; Point B: 69:-30; Point C: 95:-30; Point D: 100:-63; Angle A: 27; Angle B: 131; Angle C: 98; Angle D: 102; Square: 3886;
188. Point A: -96:2; Point B: -76:43; Point C: -38:43; Point D: 69:-30; Angle A: 74; Angle B: 116; Angle C: 145; Angle D: 23; Square: 4141;
189. Point A: -76:43; Point B: -61:48; Point C: 87:48; Point D: 93:-58; Angle A: 49; Angle B: 161; Angle C: 93; Angle D: 55; Square: 790;
190. Point A: -3:-57; Point B: 20:-19; Point C: 94:-19; Point D: 95:-24; Angle A: 40; Angle B: 121; Angle C: 101; Angle D: 97; Square: 3268;
191. Point A: 20:-19; Point B: 25:34; Point C: 66:34; Point D: 93:-58; Angle A: 112; Angle B: 95; Angle C: 106; Angle D: 45; Square: 3021;
192. Point A: -98:64; Point B: -37:97; Point C: 17:97; Point D: 25:34; Angle A: 42; Angle B: 151; Angle C: 97; Angle D: 69; Square: 2904;
193. Point A: -15:21; Point B: 25:34; Point C: 66:34; Point D: 93:-58; Angle A: 54; Angle B: 161; Angle C: 106; Angle D: 37; Square: 962;
194. Point A: -46:-53; Point B: -8:-32; Point C: 61:-32; Point D: 93:-58; Angle A: 30; Angle B: 151; Angle C: 140; Angle D: 37; Square: 2184;
195. Point A: -63:-51; Point B: -8:-32; Point C: 61:-32; Point D: 93:-58; Angle A: 21; Angle B: 160; Angle C: 140; Angle D: 36; Square: 2128;
196. Point A: -8:-32; Point B: 25:34; Point C: 66:34; Point D: 93:-58; Angle A: 77; Angle B: 116; Angle C: 106; Angle D: 59; Square: 4686;
197. Point A: -25:-74; Point B: 25:34; Point C: 66:34; Point D: 93:-58; Angle A: 57; Angle B: 114; Angle C: 106; Angle D: 81; Square: 8532;
198. Point A: -65:-76; Point B: -38:-59; Point C: 93:-59; Point D: 100:-63; Angle A: 27; Angle B: 147; Angle C: 150; Angle D: 34; Square: 2516;
199. Point A: -38:-59; Point B: 25:34; Point C: 66:34; Point D: 93:-58; Angle A: 55; Angle B: 124; Angle C: 106; Angle D: 74; Square: 7998;
200. Point A: -57:8; Point B: -21:44; Point C: 8:44; Point D: 24:-36; Angle A: 73; Angle B: 135; Angle C: 101; Angle D: 50; Square: 1980;
201. Point A: -57:-28; Point B: -21:44; Point C: 8:44; Point D: 24:-36; Angle A: 69; Angle B: 116; Angle C: 101; Angle D: 73; Square: 3960;
202. Point A: -17:57; Point B: 10:86; Point C: 73:86; Point D: 81:49; Angle A: 51; Angle B: 132; Angle C: 102; Angle D: 73; Square: 2320;
203. Point A: -37:97; Point B: 32:99; Point C: 93:99; Point D: 95:-24; Angle A: 44; Angle B: 178; Angle C: 90; Angle D: 46; Square: 192;
204. Point A: -39:65; Point B: -25:66; Point C: 20:66; Point D: 81:49; Angle A: 11; Angle B: 175; Angle C: 164; Angle D: 7; Square: 82;
205. Point A: -85:-81; Point B: -83:-15; Point C: 98:-15; Point D: 100:-63; Angle A: 82; Angle B: 91; Angle C: 92; Angle D: 93; Square: 12078;
206. Point A: 11:26; Point B: 40:53; Point C: 75:53; Point D: 93:-58; Angle A: 88; Angle B: 137; Angle C: 99; Angle D: 35; Square: 1566;
207. Point A: 40:53; Point B: 73:86; Point C: 92:86; Point D: 93:-58; Angle A: 109; Angle B: 135; Angle C: 90; Angle D: 25; Square: 1188;
208. Point A: -25:66; Point B: 10:86; Point C: 73:86; Point D: 93:-58; Angle A: 76; Angle B: 150; Angle C: 97; Angle D: 35; Square: 1800;
209. Point A: -66:27; Point B: 10:86; Point C: 73:86; Point D: 75:9; Angle A: 45; Angle B: 142; Angle C: 91; Angle D: 81; Square: 6018;
210. Point A: -61:2; Point B: 10:86; Point C: 73:86; Point D: 75:9; Angle A: 46; Angle B: 130; Angle C: 91; Angle D: 91; Square: 8316;
211. Point A: 10:86; Point B: 23:88; Point C: 42:88; Point D: 73:86; Angle A: 8; Angle B: 171; Angle C: 176; Angle D: 3; Square: 82;
212. Point A: 39:-74; Point B: 73:86; Point C: 92:86; Point D: 95:-24; Angle A: 36; Angle B: 101; Angle C: 91; Angle D: 130; Square: 5920;
213. Point A: 23:-73; Point B: 73:86; Point C: 92:86; Point D: 95:-24; Angle A: 38; Angle B: 107; Angle C: 91; Angle D: 122; Square: 7155;
214. Point A: -78:52; Point B: 73:86; Point C: 92:86; Point D: 95:-24; Angle A: 36; Angle B: 167; Angle C: 91; Angle D: 64; Square: 3264;
215. Point A: -44:93; Point B: -18:95; Point C: 0:95; Point D: 75:9; Angle A: 39; Angle B: 175; Angle C: 131; Angle D: 13; Square: 136;
216. Point A: -45:76; Point B: -24:86; Point C: 8:86; Point D: 31:-65; Angle A: 87; Angle B: 154; Angle C: 98; Angle D: 19; Square: 540;
217. Point A: -88:75; Point B: -4:76; Point C: 17:76; Point D: 31:-65; Angle A: 50; Angle B: 179; Angle C: 95; Angle D: 34; Square: 70;
218. Point A: -95:89; Point B: -18:95; Point C: 0:95; Point D: 48:-76; Angle A: 53; Angle B: 175; Angle C: 105; Angle D: 25; Square: 480;
219. Point A: -56:-42; Point B: -4:76; Point C: 17:76; Point D: 48:-76; Angle A: 84; Angle B: 113; Angle C: 101; Angle D: 60; Square: 7316;
220. Point A: -4:76; Point B: 23:88; Point C: 42:88; Point D: 48:-76; Angle A: 95; Angle B: 156; Angle C: 92; Angle D: 16; Square: 420;
221. Point A: -72:44; Point B: -24:86; Point C: 8:86; Point D: 48:-76; Angle A: 86; Angle B: 138; Angle C: 103; Angle D: 31; Square: 3192;
222. Point A: -24:86; Point B: 23:88; Point C: 42:88; Point D: 76:-11; Angle A: 46; Angle B: 177; Angle C: 108; Angle D: 26; Square: 118;
223. Point A: -88:-27; Point B: -41:59; Point C: 84:59; Point D: 92:-96; Angle A: 82; Angle B: 118; Angle C: 92; Angle D: 66; Square: 13072;
224. Point A: -41:59; Point B: 23:88; Point C: 42:88; Point D: 73:31; Angle A: 38; Angle B: 155; Angle C: 118; Angle D: 47; Square: 1914;
225. Point A: 14:7; Point B: 73:31; Point C: 75:31; Point D: 92:-96; Angle A: 74; Angle B: 157; Angle C: 97; Angle D: 29; Square: 960;
226. Point A: -48:-46; Point B: 73:31; Point C: 75:31; Point D: 92:-96; Angle A: 52; Angle B: 147; Angle C: 97; Angle D: 62; Square: 5467;
227. Point A: -64:33; Point B: 23:88; Point C: 42:88; Point D: 73:31; Angle A: 33; Angle B: 147; Angle C: 118; Angle D: 60; Square: 4290;
228. Point A: 23:88; Point B: 73:89; Point C: 89:89; Point D: 92:-96; Angle A: 70; Angle B: 178; Angle C: 90; Angle D: 19; Square: 42;
229. Point A: -35:62; Point B: 43:79; Point C: 51:79; Point D: 63:-49; Angle A: 60; Angle B: 167; Angle C: 95; Angle D: 36; Square: 901;
230. Point A: -41:9; Point B: 43:79; Point C: 51:79; Point D: 63:-49; Angle A: 68; Angle B: 140; Angle C: 95; Angle D: 55; Square: 3920;
231. Point A: 5:-97; Point B: 40:-39; Point C: 71:-39; Point D: 92:-96; Angle A: 58; Angle B: 121; Angle C: 110; Angle D: 70; Square: 3422;
232. Point A: -54:12; Point B: 8:44; Point C: 36:44; Point D: 40:-39; Angle A: 55; Angle B: 152; Angle C: 92; Angle D: 58; Square: 1952;
233. Point A: -87:26; Point B: 2:34; Point C: 12:34; Point D: 63:-49; Angle A: 31; Angle B: 174; Angle C: 121; Angle D: 31; Square: 640;
234. Point A: -42:-73; Point B: 2:34; Point C: 12:34; Point D: 63:-49; Angle A: 54; Angle B: 112; Angle C: 121; Angle D: 71; Square: 6099;
235. Point A: -58:35; Point B: -38:43; Point C: 24:43; Point D: 63:-49; Angle A: 56; Angle B: 158; Angle C: 112; Angle D: 32; Square: 728;
236. Point A: -61:-76; Point B: -38:43; Point C: 24:43; Point D: 63:-49; Angle A: 66; Angle B: 100; Angle C: 112; Angle D: 79; Square: 11067;
237. Point A: -78:9; Point B: -75:70; Point C: -67:70; Point D: -42:-58; Angle A: 148; Angle B: 92; Angle C: 101; Angle D: 17; Square: 1342;
238. Point A: 59:85; Point B: 73:89; Point C: 89:89; Point D: 92:-96; Angle A: 95; Angle B: 164; Angle C: 90; Angle D: 9; Square: 96;
239. Point A: -23:12; Point B: 8:86; Point C: 92:86; Point D: 95:-24; Angle A: 84; Angle B: 112; Angle C: 91; Angle D: 71; Square: 7474;
240. Point A: 15:-43; Point B: 35:21; Point C: 58:21; Point D: 92:-96; Angle A: 107; Angle B: 107; Angle C: 106; Angle D: 39; Square: 3200;
241. Point A: -72:-41; Point B: -45:65; Point C: 6:65; Point D: 35:21; Angle A: 45; Angle B: 104; Angle C: 123; Angle D: 86; Square: 8374;
242. Point A: -45:65; Point B: 8:86; Point C: 92:86; Point D: 95:-24; Angle A: 54; Angle B: 158; Angle C: 91; Angle D: 55; Square: 2352;
243. Point A: -54:-24; Point B: -23:54; Point C: 10:54; Point D: 35:21; Angle A: 41; Angle B: 111; Angle C: 127; Angle D: 79; Square: 4758;
244. Point A: -35:-34; Point B: -23:54; Point C: 10:54; Point D: 35:21; Angle A: 44; Angle B: 97; Angle C: 127; Angle D: 91; Square: 4488;
245. Point A: -23:54; Point B: 8:86; Point C: 92:86; Point D: 95:-24; Angle A: 79; Angle B: 134; Angle C: 91; Angle D: 54; Square: 3232;
246. Point A: -77:-76; Point B: -72:52; Point C: 85:52; Point D: 92:-96; Angle A: 94; Angle B: 92; Angle C: 92; Angle D: 80; Square: 20864;
247. Point A: -92:22; Point B: -72:52; Point C: 85:52; Point D: 92:-96; Angle A: 88; Angle B: 123; Angle C: 92; Angle D: 54; Square: 5100;
248. Point A: -72:52; Point B: 8:86; Point C: 92:86; Point D: 95:-24; Angle A: 47; Angle B: 156; Angle C: 91; Angle D: 63; Square: 4250;
249. Point A: 8:86; Point B: 49:87; Point C: 54:87; Point D: 83:83; Angle A: 3; Angle B: 178; Angle C: 172; Angle D: 5; Square: 40;
250. Point A: -7:-30; Point B: 35:21; Point C: 58:21; Point D: 92:-96; Angle A: 84; Angle B: 129; Angle C: 106; Angle D: 40; Square: 3111;
251. Point A: -37:31; Point B: -34:89; Point C: -21:89; Point D: 35:21; Angle A: 94; Angle B: 92; Angle C: 129; Angle D: 42; Square: 2436;
252. Point A: -34:89; Point B: -18:95; Point C: 0:95; Point D: 35:21; Angle A: 65; Angle B: 159; Angle C: 115; Angle D: 20; Square: 258;
253. Point A: -21:89; Point B: -18:95; Point C: 0:95; Point D: 24:43; Angle A: 109; Angle B: 116; Angle C: 114; Angle D: 19; Square: 186;
254. Point A: 24:43; Point B: 49:87; Point C: 54:87; Point D: 92:-96; Angle A: 124; Angle B: 119; Angle C: 101; Angle D: 14; Square: 1584;
255. Point A: -87:25; Point B: -18:95; Point C: 0:95; Point D: 83:-96; Angle A: 80; Angle B: 134; Angle C: 113; Angle D: 31; Square: 6580;
256. Point A: -61:-78; Point B: -18:95; Point C: 0:95; Point D: 83:-96; Angle A: 83; Angle B: 103; Angle C: 113; Angle D: 59; Square: 14013;
257. Point A: -18:95; Point B: 32:99; Point C: 93:99; Point D: 95:-24; Angle A: 51; Angle B: 175; Angle C: 90; Angle D: 42; Square: 348;
258. Point A: -28:75; Point B: 49:87; Point C: 54:87; Point D: 65:-93; Angle A: 69; Angle B: 171; Angle C: 93; Angle D: 25; Square: 588;
259. Point A: 49:87; Point B: 73:89; Point C: 89:89; Point D: 95:-24; Angle A: 72; Angle B: 175; Angle C: 93; Angle D: 19; Square: 62;
260. Point A: -69:-2; Point B: 6:65; Point C: 29:65; Point D: 95:-24; Angle A: 49; Angle B: 138; Angle C: 126; Angle D: 45; Square: 6231;
261. Point A: -36:-61; Point B: 6:65; Point C: 29:65; Point D: 58:19; Angle A: 31; Angle B: 108; Angle C: 122; Angle D: 98; Square: 7308;
262. Point A: -71:88; Point B: -38:99; Point C: 32:99; Point D: 58:19; Angle A: 46; Angle B: 161; Angle C: 108; Angle D: 43; Square: 1089;
263. Point A: -53:-93; Point B: -51:-81; Point C: -19:-81; Point D: 80:-88; Angle A: 78; Angle B: 99; Angle C: 175; Angle D: 6; Square: 984;
264. Point A: -51:-81; Point B: -46:-56; Point C: 29:-56; Point D: 44:-58; Angle A: 65; Angle B: 101; Angle C: 172; Angle D: 21; Square: 2125;
265. Point A: -65:-53; Point B: 6:65; Point C: 29:65; Point D: 58:19; Angle A: 28; Angle B: 121; Angle C: 122; Angle D: 88; Square: 8614;
266. Point A: -46:-56; Point B: 6:65; Point C: 29:65; Point D: 58:19; Angle A: 30; Angle B: 113; Angle C: 122; Angle D: 93; Square: 7623;
267. Point A: 6:65; Point B: 73:89; Point C: 89:89; Point D: 100:57; Angle A: 24; Angle B: 160; Angle C: 108; Angle D: 66; Square: 1320;
268. Point A: 44:-58; Point B: 48:-8; Point C: 93:-8; Point D: 99:-14; Angle A: 46; Angle B: 94; Angle C: 135; Angle D: 83; Square: 2500;
269. Point A: -75:1; Point B: -2:63; Point C: 17:63; Point D: 41:1; Angle A: 40; Angle B: 139; Angle C: 111; Angle D: 68; Square: 4154;
270. Point A: -2:63; Point B: 0:83; Point C: 67:83; Point D: 73:6; Angle A: 121; Angle B: 95; Angle C: 94; Angle D: 48; Square: 1420;
271. Point A: 95:12; Point B: 96:26; Point C: 98:26; Point D: 99:-14; Angle A: 167; Angle B: 94; Angle C: 91; Angle D: 7; Square: 42;
272. Point A: -58:-4; Point B: -39:47; Point C: 32:47; Point D: 99:-14; Angle A: 73; Angle B: 110; Angle C: 137; Angle D: 38; Square: 5814;
273. Point A: 19:20; Point B: 73:89; Point C: 89:89; Point D: 99:-14; Angle A: 74; Angle B: 128; Angle C: 95; Angle D: 61; Square: 3312;
274. Point A: -75:6; Point B: -38:99; Point C: 32:99; Point D: 99:-14; Angle A: 74; Angle B: 111; Angle C: 120; Angle D: 52; Square: 11346;
275. Point A: 0:83; Point B: 73:89; Point C: 89:89; Point D: 99:-14; Angle A: 49; Angle B: 175; Angle C: 95; Angle D: 40; Square: 342;
276. Point A: -17:10; Point B: 73:89; Point C: 89:89; Point D: 99:-14; Angle A: 52; Angle B: 138; Angle C: 95; Angle D: 72; Square: 5214;
277. Point A: -87:-28; Point B: 73:89; Point C: 89:89; Point D: 96:26; Angle A: 19; Angle B: 143; Angle C: 96; Angle D: 100; Square: 11583;
278. Point A: -63:-53; Point B: 73:89; Point C: 89:89; Point D: 96:26; Angle A: 19; Angle B: 133; Angle C: 96; Angle D: 110; Square: 12354;
279. Point A: -50:97; Point B: 32:99; Point C: 93:99; Point D: 96:26; Angle A: 27; Angle B: 178; Angle C: 92; Angle D: 61; Square: 206;
280. Point A: 17:-69; Point B: 96:26; Point C: 98:26; Point D: 100:-63; Angle A: 46; Angle B: 129; Angle C: 91; Angle D: 92; Square: 3990;
281. Point A: -29:-88; Point B: -17:-28; Point C: -16:-28; Point D: 38:-74; Angle A: 66; Angle B: 101; Angle C: 139; Angle D: 52; Square: 2040;
282. Point A: -17:-28; Point B: 96:26; Point C: 98:26; Point D: 100:-63; Angle A: 42; Angle B: 154; Angle C: 91; Angle D: 72; Square: 3186;
283. Point A: -100:94; Point B: 32:99; Point C: 93:99; Point D: 98:26; Angle A: 21; Angle B: 177; Angle C: 93; Angle D: 67; Square: 645;
284. Point A: 1:-83; Point B: 29:65; Point C: 86:65; Point D: 87:48; Angle A: 22; Angle B: 100; Angle C: 93; Angle D: 143; Square: 10508;
285. Point A: -9:73; Point B: 32:99; Point C: 93:99; Point D: 98:26; Angle A: 56; Angle B: 147; Angle C: 93; Angle D: 62; Square: 2184;
286. Point A: -13:83; Point B: 32:99; Point C: 93:99; Point D: 98:26; Angle A: 46; Angle B: 160; Angle C: 93; Angle D: 58; Square: 1376;
287. Point A: 29:65; Point B: 32:99; Point C: 93:99; Point D: 98:26; Angle A: 114; Angle B: 95; Angle C: 93; Angle D: 56; Square: 2210;
288. Point A: -91:-38; Point B: -54:-28; Point C: -16:-28; Point D: 62:-76; Angle A: 29; Angle B: 164; Angle C: 148; Angle D: 17; Square: 950;
289. Point A: -89:-44; Point B: -54:-28; Point C: -16:-28; Point D: 62:-76; Angle A: 36; Angle B: 155; Angle C: 148; Angle D: 19; Square: 1504;
290. Point A: -61:-45; Point B: -54:-28; Point C: -16:-28; Point D: 62:-76; Angle A: 81; Angle B: 112; Angle C: 148; Angle D: 17; Square: 1360;
291. Point A: -54:-28; Point B: 32:99; Point C: 93:99; Point D: 98:26; Angle A: 36; Angle B: 124; Angle C: 93; Angle D: 105; Square: 13462;
292. Point A: -66:-50; Point B: -60:-7; Point C: -40:-7; Point D: -19:-84; Angle A: 117; Angle B: 97; Angle C: 105; Angle D: 38; Square: 1419;
293. Point A: -60:-7; Point B: -29:55; Point C: 83:55; Point D: 86:-50; Angle A: 79; Angle B: 116; Angle C: 91; Angle D: 71; Square: 7998;
294. Point A: -29:55; Point B: 32:89; Point C: 89:89; Point D: 98:26; Angle A: 41; Angle B: 150; Angle C: 98; Angle D: 69; Square: 3128;
295. Point A: -44:-90; Point B: 22:21; Point C: 58:21; Point D: 86:-50; Angle A: 42; Angle B: 120; Angle C: 111; Angle D: 85; Square: 9213;
296. Point A: 22:21; Point B: 32:89; Point C: 89:89; Point D: 98:26; Angle A: 77; Angle B: 98; Angle C: 98; Angle D: 85; Square: 4488;
297. Point A: 7:-18; Point B: 10:54; Point C: 94:54; Point D: 98:26; Angle A: 61; Angle B: 92; Angle C: 98; Angle D: 107; Square: 6264;
298. Point A: 10:54; Point B: 32:89; Point C: 89:89; Point D: 98:26; Angle A: 75; Angle B: 122; Angle C: 98; Angle D: 64; Square: 2520;
299. Point A: -73:8; Point B: -45:35; Point C: 81:35; Point D: 98:26; Angle A: 37; Angle B: 136; Angle C: 152; Angle D: 33; Square: 3996;
300. Point A: -45:35; Point B: 32:89; Point C: 89:89; Point D: 98:26; Angle A: 38; Angle B: 144; Angle C: 98; Angle D: 78; Square: 5400;
301. Point A: -82:68; Point B: 32:89; Point C: 89:89; Point D: 98:26; Angle A: 23; Angle B: 169; Angle C: 98; Angle D: 68; Square: 2478;
302. Point A: -71:26; Point B: 32:89; Point C: 89:89; Point D: 98:26; Angle A: 31; Angle B: 148; Angle C: 98; Angle D: 81; Square: 7119;
303. Point A: 32:89; Point B: 34:94; Point C: 38:94; Point D: 78:38; Angle A: 116; Angle B: 111; Angle C: 125; Angle D: 6; Square: 125;
304. Point A: -91:21; Point B: -58:50; Point C: -39:50; Point D: 98:26; Angle A: 39; Angle B: 138; Angle C: 170; Angle D: 11; Square: 3016;
305. Point A: -91:95; Point B: -70:97; Point C: 17:97; Point D: 98:26; Angle A: 25; Angle B: 174; Angle C: 138; Angle D: 21; Square: 276;
306. Point A: -58:50; Point B: 69:71; Point C: 95:71; Point D: 98:26; Angle A: 18; Angle B: 170; Angle C: 93; Angle D: 77; Square: 1911;
307. Point A: -83:-21; Point B: -78:2; Point C: 32:2; Point D: 57:-65; Angle A: 95; Angle B: 102; Angle C: 110; Angle D: 52; Square: 2875;
308. Point A: 38:30; Point B: 69:71; Point C: 95:71; Point D: 100:56; Angle A: 30; Angle B: 127; Angle C: 108; Angle D: 94; Square: 1804;
309. Point A: 69:71; Point B: 79:84; Point C: 80:84; Point D: 93:-80; Angle A: 133; Angle B: 127; Angle C: 94; Angle D: 4; Square: 156;
310. Point A: -79:36; Point B: -30:58; Point C: 17:58; Point D: 57:-65; Angle A: 60; Angle B: 155; Angle C: 108; Angle D: 35; Square: 2002;
311. Point A: -82:36; Point B: -30:58; Point C: 17:58; Point D: 38:-12; Angle A: 44; Angle B: 157; Angle C: 106; Angle D: 51; Square: 1826;
312. Point A: -30:58; Point B: -13:94; Point C: 34:94; Point D: 38:-12; Angle A: 110; Angle B: 115; Angle C: 92; Angle D: 42; Square: 2052;
313. Point A: -72:15; Point B: -30:41; Point C: 56:41; Point D: 93:-80; Angle A: 61; Angle B: 148; Angle C: 107; Angle D: 43; Square: 3250;
314. Point A: -30:41; Point B: -13:94; Point C: 34:94; Point D: 62:-17; Angle A: 104; Angle B: 107; Angle C: 104; Angle D: 43; Square: 3657;
315. Point A: -22:-55; Point B: 62:-17; Point C: 81:-17; Point D: 94:-19; Angle A: 7; Angle B: 155; Angle C: 171; Angle D: 25; Square: 2546;
316. Point A: -43:11; Point B: -38:51; Point C: 96:51; Point D: 100:-63; Angle A: 110; Angle B: 97; Angle C: 92; Angle D: 60; Square: 5520;
317. Point A: -38:51; Point B: -13:94; Point C: 34:94; Point D: 62:-17; Angle A: 94; Angle B: 120; Angle C: 104; Angle D: 41; Square: 3139;
318. Point A: -31:-93; Point B: 62:-17; Point C: 81:-17; Point D: 94:-19; Angle A: 8; Angle B: 140; Angle C: 171; Angle D: 39; Square: 5472;
319. Point A: -86:23; Point B: 14:38; Point C: 24:38; Point D: 62:-17; Angle A: 23; Angle B: 171; Angle C: 124; Angle D: 40; Square: 1185;
320. Point A: -21:91; Point B: -20:93; Point C: 46:93; Point D: 93:-8; Angle A: 104; Angle B: 116; Angle C: 114; Angle D: 24; Square: 180;
321. Point A: -96:-80; Point B: -70:97; Point C: 17:97; Point D: 93:-8; Angle A: 60; Angle B: 98; Angle C: 125; Angle D: 74; Square: 24426;
322. Point A: -59:-86; Point B: -40:-7; Point C: -27:-7; Point D: 94:-19; Angle A: 52; Angle B: 103; Angle C: 174; Angle D: 29; Square: 6557;
323. Point A: -40:-7; Point B: 9:3; Point C: 19:3; Point D: 94:-19; Angle A: 16; Angle B: 168; Angle C: 163; Angle D: 11; Square: 720;
324. Point A: 75:57; Point B: 79:84; Point C: 80:84; Point D: 94:-19; Angle A: 157; Angle B: 98; Angle C: 97; Angle D: 6; Square: 270;
325. Point A: 14:-18; Point B: 45:-11; Point C: 76:-11; Point D: 90:-94; Angle A: 57; Angle B: 167; Angle C: 99; Angle D: 35; Square: 371;
326. Point A: -64:45; Point B: -20:93; Point C: 46:93; Point D: 52:18; Angle A: 60; Angle B: 132; Angle C: 94; Angle D: 72; Square: 4368;
327. Point A: -20:93; Point B: 34:94; Point C: 38:94; Point D: 52:18; Angle A: 47; Angle B: 178; Angle C: 100; Angle D: 33; Square: 38;
328. Point A: -56:25; Point B: -39:50; Point C: -8:50; Point D: 52:18; Angle A: 59; Angle B: 124; Angle C: 151; Angle D: 24; Square: 1725;
329. Point A: -90:73; Point B: -7:75; Point C: 42:75; Point D: 52:18; Angle A: 22; Angle B: 178; Angle C: 99; Angle D: 58; Square: 190;
330. Point A: 12:-93; Point B: 33:-91; Point C: 82:-91; Point D: 90:-94; Angle A: 6; Angle B: 174; Angle C: 159; Angle D: 19; Square: 126;
331. Point A: 90:-94; Point B: 91:-22; Point C: 94:-22; Point D: 95:-30; Angle A: 3; Angle B: 90; Angle C: 97; Angle D: 168; Square: 288;
332. Point A: 33:-91; Point B: 37:-53; Point C: 44:-53; Point D: 52:-92; Angle A: 87; Angle B: 96; Angle C: 101; Angle D: 75; Square: 494;
333. Point A: 37:-53; Point B: 91:-22; Point C: 94:-22; Point D: 95:-30; Angle A: 8; Angle B: 150; Angle C: 97; Angle D: 104; Square: 930;
334. Point A: 29:67; Point B: 34:94; Point C: 38:94; Point D: 42:46; Angle A: 137; Angle B: 100; Angle C: 94; Angle D: 26; Square: 216;
335. Point A: -75:-5; Point B: 42:46; Point C: 90:46; Point D: 94:42; Angle A: 8; Angle B: 156; Angle C: 135; Angle D: 60; Square: 5508;
336. Point A: -32:17; Point B: -7:75; Point C: 42:75; Point D: 78:1; Angle A: 74; Angle B: 113; Angle C: 115; Angle D: 55; Square: 4582;
337. Point A: -58:-1; Point B: -7:75; Point C: 42:75; Point D: 83:55; Angle A: 34; Angle B: 123; Angle C: 153; Angle D: 47; Square: 7220;
338. Point A: -7:75; Point B: 8:80; Point C: 49:80; Point D: 83:55; Angle A: 30; Angle B: 161; Angle C: 143; Angle D: 23; Square: 325;
339. Point A: 8:80; Point B: 34:94; Point C: 38:94; Point D: 83:55; Angle A: 46; Angle B: 151; Angle C: 139; Angle D: 22; Square: 546;
340. Point A: -74:84; Point B: 34:94; Point C: 38:94; Point D: 83:55; Angle A: 15; Angle B: 174; Angle C: 139; Angle D: 30; Square: 800;
341. Point A: -81:13; Point B: -31:16; Point C: 34:16; Point D: 78:-89; Angle A: 36; Angle B: 176; Angle C: 112; Angle D: 34; Square: 336;
342. Point A: -58:-97; Point B: -13:-60; Point C: 15:-60; Point D: 78:-89; Angle A: 36; Angle B: 140; Angle C: 155; Angle D: 28; Square: 3034;
343. Point A: -13:-60; Point B: 29:68; Point C: 57:68; Point D: 78:-89; Angle A: 89; Angle B: 108; Angle C: 97; Angle D: 64; Square: 7552;
344. Point A: -38:67; Point B: 29:68; Point C: 57:68; Point D: 78:-89; Angle A: 54; Angle B: 179; Angle C: 97; Angle D: 29; Square: 72;
345. Point A: -77:-53; Point B: -45:81; Point C: 62:81; Point D: 78:-89; Angle A: 89; Angle B: 103; Angle C: 95; Angle D: 71; Square: 17554;
346. Point A: -45:81; Point B: 34:94; Point C: 38:94; Point D: 43:-88; Angle A: 71; Angle B: 170; Angle C: 91; Angle D: 25; Square: 598;
347. Point A: 29:68; Point B: 34:94; Point C: 38:94; Point D: 43:-88; Angle A: 163; Angle B: 100; Angle C: 91; Angle D: 3; Square: 234;
348. Point A: -16:-28; Point B: 34:94; Point C: 38:94; Point D: 93:39; Angle A: 36; Angle B: 112; Angle C: 135; Angle D: 76; Square: 6832;
349. Point A: -89:-63; Point B: -28:6; Point C: 24:6; Point D: 76:-94; Angle A: 59; Angle B: 131; Angle C: 117; Angle D: 51; Square: 7452;
350. Point A: -28:6; Point B: 34:94; Point C: 38:94; Point D: 93:39; Angle A: 39; Angle B: 125; Angle C: 135; Angle D: 60; Square: 5456;
351. Point A: 17:-52; Point B: 34:94; Point C: 38:94; Point D: 93:39; Angle A: 33; Angle B: 96; Angle C: 135; Angle D: 95; Square: 5840;
